timestamp,open,high,low,close,volume
2019-06-19,88.0000,88.5900,87.7000,88.3200,372895
2019-06-18,88.9600,88.9600,87.1200,88.0700,1868368
2019-06-17,88.4400,88.7500,87.6300,88.1300,1797564
2019-06-14,87.9600,88.9500,87.9300,88.5400,1560510
2019-06-13,87.8800,88.2800,87.0500,87.7800,2697138
2019-06-12,87.0800,87.8300,87.0800,87.7200,1063546
2019-06-11,87.1400,87.6500,86.1200,86.7200,1710463
2019-06-10,87.9600,88.0900,86.7300,87.2300,1584696
2019-06-07,89.8500,90.5100,88.0600,88.3100,2132724
2019-06-06,89.6400,89.7800,89.0600,89.5000,1445117
2019-06-05,88.0500,89.5500,87.6100,89.3200,1632598
2019-06-04,87.3600,87.6400,85.5500,87.5300,1719456
2019-06-03,86.3100,87.5100,86.0400,87.3700,1503867
2019-05-31,85.3600,86.3800,85.2400,86.3000,1795705
2019-05-30,85.6000,86.0300,85.0400,85.2500,1469312
2019-05-29,86.9500,87.1416,85.3500,85.6100,1987420
2019-05-28,88.4800,88.4800,86.7500,86.7500,3027892
2019-05-24,88.4000,88.9200,88.0800,88.1400,1099435
2019-05-23,87.6600,88.4100,87.3500,88.3800,1376925
2019-05-22,86.9000,87.7000,86.5000,87.5200,1113571
2019-05-21,87.2500,87.6900,86.6200,86.6900,3080802
2019-05-20,87.1700,87.6500,86.8100,87.0100,1316677
2019-05-17,86.0300,87.3300,86.0300,86.9400,1804342
2019-05-16,85.3000,86.4900,85.0000,86.3700,1491342
2019-05-15,85.1000,85.8500,84.8300,85.5100,1727061
2019-05-14,85.5500,85.5900,84.7250,84.9000,2130357
2019-05-13,85.0400,86.1900,85.0000,86.0400,2726845
2019-05-10,84.0000,85.3000,83.8800,85.3000,2657998
2019-05-09,84.0000,84.5000,83.6100,84.0000,7437185
2019-05-08,84.5400,84.7500,83.6614,83.9300,8777650
2019-05-07,85.4700,85.7400,84.9500,85.2100,1295912
2019-05-06,86.3500,86.3500,85.1600,85.4200,1364418
2019-05-03,85.5900,86.5000,85.5900,86.0300,1720991
2019-05-02,85.3400,85.6500,84.6500,85.1600,1486909
2019-05-01,85.7800,86.1500,85.1600,85.2300,1266008
2019-04-30,84.5800,86.2300,84.4300,86.1600,2361417
2019-04-29,84.7300,84.9000,84.1050,84.4800,1334184
2019-04-26,85.3700,85.9000,84.8700,84.9700,3038703
2019-04-25,84.1800,84.9700,83.9700,84.5200,1522619
2019-04-24,84.4500,84.7500,83.9700,84.3200,1764541
2019-04-23,83.9400,84.3300,83.4750,84.1900,1407300
2019-04-22,83.6100,83.9900,83.5800,83.8600,1298020
2019-04-18,83.9200,84.2300,83.5300,83.6100,1417055
2019-04-17,83.7600,84.1700,83.4000,83.9000,1494513
2019-04-16,84.6500,84.8900,83.3200,83.6200,1850967
2019-04-15,84.6600,85.0300,84.2600,84.6100,1017425
2019-04-12,84.2400,84.6600,83.6100,84.5500,1640808
2019-04-11,84.0000,84.5800,83.7700,84.4700,1086356
2019-04-10,84.2700,84.9800,83.7800,83.8700,1006347
2019-04-09,83.7700,84.2200,83.7000,84.1600,951083
2019-04-08,84.4500,84.6600,83.6600,83.7900,1792547
2019-04-05,84.0000,84.8400,83.6200,84.8100,921232
2019-04-04,84.5700,84.7600,83.5500,83.9900,1281273
2019-04-03,84.5100,84.7500,83.6600,84.4400,1217678
2019-04-02,84.3000,84.7900,83.7900,84.7600,1272457
2019-04-01,84.6700,84.6700,83.5500,84.3200,1771252
2019-03-29,84.2700,84.8800,83.9100,84.8100,1623626
2019-03-28,85.2600,85.4550,83.8000,84.2700,1935054
2019-03-27,85.8100,85.8700,84.8332,85.1600,1519120
2019-03-26,85.1000,85.7754,84.9100,85.6800,1081441
2019-03-25,85.1200,85.4200,84.6100,85.1000,1335759
2019-03-22,84.6900,85.5900,84.4200,84.9100,1858358
2019-03-21,83.9100,84.5100,83.6400,84.3900,1349107
2019-03-20,83.9500,84.6100,83.3400,83.8400,1788426
2019-03-19,84.7000,84.7000,83.4400,83.8100,2030370
2019-03-18,84.9400,85.1700,84.2500,84.7000,2556124
2019-03-15,85.2100,85.4300,84.6800,84.8400,4209029
2019-03-14,85.1900,85.5700,84.7800,84.9800,1903473
2019-03-13,85.0300,85.4700,84.7100,85.1800,1549853
2019-03-12,84.4500,85.2700,84.1600,84.9300,2578881
2019-03-11,83.7600,84.3900,83.6600,84.2700,1838090
2019-03-08,83.5700,83.8500,83.0100,83.8200,1773897
2019-03-07,83.5600,84.3500,83.2400,83.3400,1908184
2019-03-06,83.1200,83.7300,82.7350,83.3300,2346550
2019-03-05,83.1700,83.3300,82.8000,82.9300,1428286
2019-03-04,83.1000,83.2400,82.4400,83.2000,1661726
2019-03-01,82.4500,82.8400,81.8500,82.6600,1629048
2019-02-28,81.7000,82.7300,81.5500,82.4500,2315576
2019-02-27,81.2600,81.9100,80.9800,81.6600,1337575
2019-02-26,81.8500,81.8800,81.0700,81.3600,1398720
2019-02-25,82.0000,82.2200,81.1400,81.6200,2269494
2019-02-22,80.6900,82.1900,80.4200,82.1000,3514744
2019-02-21,78.6600,80.0900,78.5900,80.0000,1552797
2019-02-20,78.8100,79.2400,78.1800,79.0100,1852638
2019-02-19,78.4100,79.1050,78.3200,78.8700,2258866
2019-02-15,78.3900,78.7600,78.2500,78.5100,1693621
2019-02-14,77.9900,78.4100,77.5700,78.0400,2062448
2019-02-13,77.8300,78.1000,77.2100,77.8300,2668478
2019-02-12,78.4200,78.8700,77.7400,78.5700,1834075
2019-02-11,78.8700,79.3670,78.6000,78.9700,1647358
2019-02-08,78.0500,78.9500,77.8300,78.9300,1755228
2019-02-07,77.5400,78.1300,76.8000,78.1100,1860660
2019-02-06,77.4500,77.8300,77.0800,77.2600,1490720
2019-02-05,77.5000,78.0000,77.0100,77.5900,1976591
2019-02-04,76.3500,77.5800,76.0300,77.5700,2393118
2019-02-01,77.4700,77.5750,75.9000,76.6800,2006601
2019-01-31,76.0300,77.8800,75.6200,77.6500,3342283
2019-01-30,75.6100,76.3850,75.4800,76.1900,1716306
2019-01-29,75.7500,76.2800,75.5900,75.8900,1566189
2019-01-28,76.1100,76.5800,75.2500,75.5900,2168492
